,0,1,2
158,Harriet Harman,Patricia Hewitt,316
159,Liz Kendall,Rachel Reeves,316
160,David Miliband,Stella Creasy,313
161,Jim Murphy,Mary Creagh,312
162,John Mann,Tony Blair,312
163,Diane Abbott,George Osborne,312
164,Harriet Harman,Jim Murphy,312
165,Ed Miliband,Margaret Hodge,311
166,Alastair Campbell,Andy Burnham,310
167,Alastair Campbell,Yvette Cooper,310
168,Chuka Umunna,Patricia Hewitt,309
169,John Mann,Tom Watson,309
170,Alastair Campbell,Ed Miliband,309
171,Jeremy Corbyn,Margaret Hodge,307
172,Diane Abbott,Harriet Harman,304
173,Andy Burnham,Margaret Hodge,302
174,Jeremy Corbyn,Len Mccluskey,301
175,Andy Burnham,Sadiq Khan,301
176,Liz Kendall,Margaret Hodge,301
177,Boris Johnson,David Cameron,301
178,Ed Miliband,Nigel Farage,300
179,Margaret Hodge,Yvette Cooper,300
180,Sadiq Khan,Yvette Cooper,299
181,Gordon Brown,Patricia Hewitt,297
182,Harriet Harman,Hilary Benn,297
183,Liz Kendall,Sadiq Khan,295
184,Chuka Umunna,Margaret Beckett,293
185,Douglas Alexander,Yvette Cooper,292
186,Andy Burnham,John Prescott,291
187,Alastair Campbell,Chuka Umunna,289
188,Andy Burnham,Nigel Farage,288
189,Douglas Alexander,Ed Miliband,288
190,Alan Johnson,Patricia Hewitt,287
191,Ed Miliband,Sadiq Khan,286
192,Andy Burnham,Caroline Flint,286
193,Jim Murphy,Tony Blair,284
194,Gordon Brown,Margaret Beckett,284
195,Nigel Farage,Yvette Cooper,284
196,John Smith,Yvette Cooper,283
197,Boris Johnson,Yvette Cooper,280
198,Chuka Umunna,George Osborne,280
199,Chuka Umunna,Jim Murphy,280
200,Andy Burnham,John Smith,279
201,Alastair Campbell,Liz Kendall,277
202,Alan Johnson,Margaret Beckett,277
203,Jeremy Corbyn,Sadiq Khan,277
204,Gordon Brown,John Mcdonnell Diane Abbott,275
205,Alan Johnson,John Mcdonnell Diane Abbott,275
206,Harriet Harman,John Mcdonnell Diane Abbott,275
207,Chuka Umunna,John Mcdonnell Diane Abbott,275
208,John Mcdonnell Diane Abbott,Liz Kendall,275
209,John Mcdonnell Diane Abbott,Patricia Hewitt,275
210,Margaret Beckett,Patricia Hewitt,274
211,Alan Johnson,Yvette Cooper,273
212,Philip Hammond,Yvette Cooper,272
213,John Smith,Liz Kendall,271
214,Caroline Flint,Tom Watson,271
215,David Cameron,Sadiq Khan,270
216,John Mcdonnell Diane Abbott,Margaret Beckett,270
217,Alastair Campbell,David Miliband,268
218,John Prescott,Yvette Cooper,268
219,Alan Johnson,Tony Blair,266
220,Caroline Flint,Liz Kendall,265
221,Chris Leslie,David Miliband,263
222,Helen Goodman,Yvette Cooper,263
223,David Cameron,Jim Murphy,261
224,Chris Leslie,Stella Creasy,261
225,Ed Miliband,Rachel Reeves,260
226,George Osborne,Sajid Javid,259
227,Andy Burnham,Julie Bailey,257
228,Andy Burnham,Douglas Alexander,257
229,Harriet Harman,Len Mccluskey,254
230,Harriet Harman,John Smith,253
231,Harriet Harman,Stella Creasy,252
232,John Smith,Mary Creagh,252
233,Julie Bailey,Yvette Cooper,252
234,Julie Bailey,Liz Kendall,251
235,Julie Bailey,Mary Creagh,250
236,Mary Creagh,Sadiq Khan,250
237,John Smith,Tony Blair,250
238,Alastair Campbell,Tom Watson,249
239,Liz Kendall,Philip Hammond,247
240,Caroline Flint,Ed Miliband,245
241,Dame Margaret Beckett,Harriet Harman,244
242,Helen Goodman,Liz Kendall,244
243,Dame Margaret Beckett,Yvette Cooper,244
244,Dame Margaret Beckett,Liz Kendall,243
245,Andy Burnham,Dame Margaret Beckett,243
246,John Smith,Julie Bailey,243
247,Harriet Harman,Julie Bailey,242
248,Dame Margaret Beckett,John Smith,242
249,Dame Margaret Beckett,Julie Bailey,242
250,Dame Margaret Beckett,Mary Creagh,242
251,John Prescott,Mary Creagh,242
252,David Bowie,Jeremy Corbyn,240
253,Harriet Harman,John Prescott,239
254,Jim Murphy,Rachel Reeves,237
255,Jeremy Corbyn,Sajid Javid,237
256,George Osborne,Tom Watson,236
257,Chuka Umunna,Douglas Alexander,235
258,Andy Burnham,Helen Goodman,229
259,Len Mccluskey,Rachel Reeves,229
260,Andy Burnham,David Lammy,228
261,David Miliband,Mary Creagh,227
262,Stella Creasy,Tom Watson,226
263,David Cameron,Sajid Javid,225
264,Julie Bailey,Tony Blair,225
265,David Lammy,Yvette Cooper,222
266,John Prescott,Julie Bailey,221
267,Nick Clegg,Nigel Farage,219
268,Harriet Harman,Sajid Javid,219
269,Queen Elizabeth,Yvette Cooper,218
270,Douglas Alexander,Harriet Harman,218
271,Vernon Coaker,Yvette Cooper,217
272,David Lammy,Liz Kendall,216
273,Dame Margaret Beckett,Tony Blair,216
274,Andy Burnham,Vernon Coaker,215
275,Alan Johnson,Ed Miliband,214
276,John Prescott,John Smith,214
277,Harriet Harman,Helen Goodman,214
278,Dame Margaret Beckett,John Prescott,212
279,David Lammy,Ed Miliband,211
280,Boris Johnson,Ed Miliband,208
281,Liz Kendall,Vernon Coaker,208
282,Harriet Harman,Nick Clegg,208
283,Chuka Umunna,Len Mccluskey,208
284,George Osborne,Helen Goodman,207
285,Andy Burnham,Ben Bradshaw,207
286,Alastair Campbell,Tony Blair,205
287,David Cameron,Michael Fallon,205
288,Caroline Lucas,Jeremy Corbyn,205
289,Tessa Jowell,Yvette Cooper,204
290,Liz Kendall,Tessa Jowell,203
291,Andy Burnham,Tessa Jowell,202
292,Chris Leslie,Chuka Umunna,202
293,Ed Miliband,Neil Kinnock,202
294,Jeremy Corbyn,Sam Fairbairn,202
295,Andy Burnham,Blairite Liz Kendall,202
296,David Cameron,Iain Duncan Smith,201
297,David Cameron,Margaret Thatcher,200
298,Ed Miliband,Tessa Jowell,200
299,Nicky Morgan,Philip Hammond,198
