,Party 1,Party 2,Source,Target,Weight,Type
69221,R,R,Adam Kinzinger,Jeff Miller,0.208645522,Undirected
69377,R,R,Adam Kinzinger,Joe Wilson,0.180184338,Undirected
69184,R,R,Adam Kinzinger,John Katko,0.177319463,Undirected
69218,R,R,Adam Kinzinger,John Mica,0.234982817,Undirected
69245,R,R,Adam Kinzinger,John Moolenaar,0.268182855,Undirected
69312,R,R,Adam Kinzinger,John Ratcliffe,0.166589172,Undirected
69324,R,R,Adam Kinzinger,John Shimkus,0.392628825,Undirected
69266,R,R,Adam Kinzinger,Joseph Pitts,0.25967759,Undirected
69310,R,R,Adam Kinzinger,Keith Rothfus,0.197532477,Undirected
69226,R,R,Adam Kinzinger,Kenny Marchant,0.176400163,Undirected
69230,R,R,Adam Kinzinger,Kevin McCarthy,0.344111179,Undirected
69399,R,R,Adam Kinzinger,Kevin Yoder,0.264534413,Undirected
69255,R,R,Adam Kinzinger,Kristi Noem,0.281785861,Undirected
69328,R,R,Adam Kinzinger,Lamar Smith,0.177855637,Undirected
69403,R,R,Adam Kinzinger,Lee Zeldin,0.289884897,Undirected
69202,R,R,Adam Kinzinger,Leonard Lance,0.411561449,Undirected
69241,R,R,Adam Kinzinger,Luke Messer,0.251793949,Undirected
69378,R,R,Adam Kinzinger,Lynn Westmoreland,0.07741725,Undirected
69353,R,R,Adam Kinzinger,Mac Thornberry,0.315966411,Undirected
69239,R,R,Adam Kinzinger,Mark Meadows,0.084050764,Undirected
69393,R,R,Adam Kinzinger,Mark Walker,0.125017873,Undirected
69242,R,R,Adam Kinzinger,Markwayne Mullin,0.244804258,Undirected
69345,R,R,Adam Kinzinger,Marlin Stutzman,0.11275415,Undirected
69318,R,R,Adam Kinzinger,Marshall Sanford,0.008811877,Undirected
69248,R,R,Adam Kinzinger,Martha McSally,0.275420872,Undirected
69306,R,R,Adam Kinzinger,Martha Roby,0.334668165,Undirected
69316,R,R,Adam Kinzinger,Matt Salmon,0.058937258,Undirected
69214,R,R,Adam Kinzinger,Mia Love,0.227390238,Undirected
69225,R,R,Adam Kinzinger,Michael McCaul,0.259148347,Undirected
69330,R,R,Adam Kinzinger,Michael Simpson,0.363591953,Undirected
69356,R,R,Adam Kinzinger,Michael Turner,0.478238398,Undirected
69236,R,R,Adam Kinzinger,Mick Mulvaney,0.048562412,Undirected
69277,R,R,Adam Kinzinger,Mike Pompeo,0.149419552,Undirected
69294,R,R,Adam Kinzinger,Mike Rogers,0.420026906,Undirected
69394,R,R,Adam Kinzinger,Mimi Walters,0.315293514,Undirected
69224,R,R,Adam Kinzinger,Patrick McHenry,0.26059156,Undirected
69235,R,R,Adam Kinzinger,Patrick Meehan,0.467660343,Undirected
69355,R,R,Adam Kinzinger,Patrick Tiberi,0.442096946,Undirected
69293,R,R,Adam Kinzinger,Paul Ryan,0.311946015,Undirected
69260,R,R,Adam Kinzinger,Pete Olson,0.146855377,Undirected
69322,R,R,Adam Kinzinger,Pete Sessions,0.164504973,Undirected
69298,R,R,Adam Kinzinger,Peter Roskam,0.338867214,Undirected
69254,R,R,Adam Kinzinger,Randy Neugebauer,0.11192541,Undirected
69390,R,R,Adam Kinzinger,Randy Weber,0.096721074,Undirected
69206,R,R,Adam Kinzinger,Raúl Labrador,0.037511565,Undirected
69303,R,R,Adam Kinzinger,Reid Ribble,0.051694318,Undirected
69256,R,R,Adam Kinzinger,Richard Nugent,0.142837325,Undirected
69387,R,R,Adam Kinzinger,Rob Woodall,0.207047151,Undirected
69201,R,R,Adam Kinzinger,Robert Latta,0.193255403,Undirected
69280,R,R,Adam Kinzinger,Robert Pittenger,0.388603897,Undirected
69383,R,R,Adam Kinzinger,Robert Wittman,0.308004288,Undirected
69392,R,R,Adam Kinzinger,Roger Williams,0.140888083,Undirected
69404,R,R,Adam Kinzinger,Ryan Zinke,0.25131432,Undirected
69279,R,R,Adam Kinzinger,Scott Perry,0.083938183,Undirected
69361,R,R,Adam Kinzinger,Scott Tipton,0.271656693,Undirected
69268,R,R,Adam Kinzinger,Stevan Pearce,0.191839581,Undirected
69185,R,R,Adam Kinzinger,Steve Knight,0.276957612,Undirected
69315,R,R,Adam Kinzinger,Steve Russell,0.169669434,Undirected
69339,R,R,Adam Kinzinger,Steve Scalise,0.206612491,Undirected
69344,R,R,Adam Kinzinger,Steve Stivers,0.423182657,Undirected
69386,R,R,Adam Kinzinger,Steve Womack,0.327787857,Undirected
69276,R,R,Adam Kinzinger,Steven Palazzo,0.270712298,Undirected
69270,R,R,Adam Kinzinger,Ted Poe,0.122151493,Undirected
69401,R,R,Adam Kinzinger,Ted Yoho,0.050409713,Undirected
69237,R,R,Adam Kinzinger,Thomas Massie,0.003334213,Undirected
69300,R,R,Adam Kinzinger,Thomas Rooney,0.201601153,Undirected
69223,R,R,Adam Kinzinger,Tim Murphy,0.400540757,Undirected
69380,R,R,Adam Kinzinger,Tim Walberg,0.342608411,Undirected
69307,R,R,Adam Kinzinger,Todd Rokita,0.181644253,Undirected
69400,R,R,Adam Kinzinger,Todd Young,0.31338442,Undirected
69244,R,R,Adam Kinzinger,Tom MacArthur,0.412218556,Undirected
69233,R,R,Adam Kinzinger,Tom Marino,0.386646963,Undirected
69232,R,R,Adam Kinzinger,Tom McClintock,0.018583364,Undirected
69269,R,R,Adam Kinzinger,Tom Price,0.204878544,Undirected
69301,R,R,Adam Kinzinger,Tom Reed,0.459263024,Undirected
69309,R,R,Adam Kinzinger,Tom Rice,0.145918067,Undirected
69186,R,R,Adam Kinzinger,Trent Kelly,0.012494524,Undirected
92554,R,R,Adrian Smith,Aaron Schock,0.006251699,Undirected
92602,R,R,Adrian Smith,Ann Wagner,0.375786602,Undirected
92560,R,R,Adrian Smith,Austin Scott,0.47309049,Undirected
92605,R,R,Adrian Smith,Brad Wenstrup,0.435035401,Undirected
92609,R,R,Adrian Smith,Bruce Westerman,0.498328327,Undirected
92562,R,R,Adrian Smith,Chris Stewart,0.478574557,Undirected
92598,R,R,Adrian Smith,Daniel Webster,0.412680971,Undirected
92579,R,R,Adrian Smith,Dave Trott,0.447982455,Undirected
92556,R,R,Adrian Smith,David Schweikert,0.329754884,Undirected
92584,R,R,Adrian Smith,David Valadao,0.280240886,Undirected
92616,R,R,Adrian Smith,David Young,0.461310214,Undirected
92611,R,R,Adrian Smith,Don Young,0.122582431,Undirected
92589,R,R,Adrian Smith,Ed Whitfield,0.354410557,Undirected
92565,R,R,Adrian Smith,Elise Stefanik,0.142436148,Undirected
92580,R,R,Adrian Smith,Fred Upton,0.319772382,Undirected
92572,R,R,Adrian Smith,Glenn Thompson,0.214068594,Undirected
92590,R,R,Adrian Smith,Greg Walden,0.314390173,Undirected
92603,R,R,Adrian Smith,Jackie Walorski,0.490373204,Undirected
92564,R,R,Adrian Smith,Jason Smith,0.434639542,Undirected
92591,R,R,Adrian Smith,Joe Wilson,0.487309761,Undirected
92613,R,R,Adrian Smith,Kevin Yoder,0.391938569,Undirected
92617,R,R,Adrian Smith,Lee Zeldin,0.220520475,Undirected
92592,R,R,Adrian Smith,Lynn Westmoreland,0.245956994,Undirected
92567,R,R,Adrian Smith,Mac Thornberry,0.466619542,Undirected
92607,R,R,Adrian Smith,Mark Walker,0.407023149,Undirected
92559,R,R,Adrian Smith,Marlin Stutzman,0.440830443,Undirected
92570,R,R,Adrian Smith,Michael Turner,0.241045445,Undirected
92608,R,R,Adrian Smith,Mimi Walters,0.473770438,Undirected
92569,R,R,Adrian Smith,Patrick Tiberi,0.349600043,Undirected
92604,R,R,Adrian Smith,Randy Weber,0.325465542,Undirected
92601,R,R,Adrian Smith,Rob Woodall,0.286250283,Undirected
92597,R,R,Adrian Smith,Robert Wittman,0.406289544,Undirected
92606,R,R,Adrian Smith,Roger Williams,0.448127885,Undirected
92618,R,R,Adrian Smith,Ryan Zinke,0.394175919,Undirected
92575,R,R,Adrian Smith,Scott Tipton,0.382862145,Undirected
92553,R,R,Adrian Smith,Steve Scalise,0.462557843,Undirected
92558,R,R,Adrian Smith,Steve Stivers,0.206158634,Undirected
92600,R,R,Adrian Smith,Steve Womack,0.4595497,Undirected
92615,R,R,Adrian Smith,Ted Yoho,0.165656871,Undirected
92594,R,R,Adrian Smith,Tim Walberg,0.433103227,Undirected
92614,R,R,Adrian Smith,Todd Young,0.37521001,Undirected
82362,R,R,Alex Mooney,Aaron Schock,0.011165364,Undirected
82359,R,R,Alex Mooney,Adrian Smith,0.388331761,Undirected
82410,R,R,Alex Mooney,Ann Wagner,0.224417248,Undirected
82368,R,R,Alex Mooney,Austin Scott,0.293648382,Undirected
82297,R,R,Alex Mooney,Bill Posey,0.311553805,Undirected
82354,R,R,Alex Mooney,Bill Shuster,0.137442952,Undirected
82413,R,R,Alex Mooney,Brad Wenstrup,0.300867014,Undirected
82306,R,R,Alex Mooney,Bruce Poliquin,0.33896599,Undirected
82417,R,R,Alex Mooney,Bruce Westerman,0.378384408,Undirected
82370,R,R,Alex Mooney,Chris Stewart,0.301417081,Undirected
82349,R,R,Alex Mooney,Christopher Smith,0.104750483,Undirected
82281,R,R,Alex Mooney,Dan Newhouse,0.273187998,Undirected
82310,R,R,Alex Mooney,Dana Rohrabacher,0.293280816,Undirected
82406,R,R,Alex Mooney,Daniel Webster,0.251379308,Undirected
82387,R,R,Alex Mooney,Dave Trott,0.227564623,Undirected
82319,R,R,Alex Mooney,David Reichert,0.066990129,Undirected
82321,R,R,Alex Mooney,David Roe,0.215567965,Undirected
82336,R,R,Alex Mooney,David Rouzer,0.289363602,Undirected
82364,R,R,Alex Mooney,David Schweikert,0.325425581,Undirected
82392,R,R,Alex Mooney,David Valadao,0.129097814,Undirected
82424,R,R,Alex Mooney,David Young,0.313729307,Undirected
82330,R,R,Alex Mooney,Dennis Ross,0.204356127,Undirected
82275,R,R,Alex Mooney,Devin Nunes,0.190253966,Undirected
82419,R,R,Alex Mooney,Don Young,0.128986882,Undirected
82397,R,R,Alex Mooney,Ed Whitfield,0.16514406,Undirected
82327,R,R,Alex Mooney,Edward Rigell,0.160693119,Undirected
82313,R,R,Alex Mooney,Edward Royce,0.264725943,Undirected
82373,R,R,Alex Mooney,Elise Stefanik,0.058223241,Undirected
82294,R,R,Alex Mooney,Erik Paulsen,0.166572226,Undirected
82342,R,R,Alex Mooney,F. Sensenbrenner,0.078900355,Undirected
82388,R,R,Alex Mooney,Fred Upton,0.181005285,Undirected
82305,R,R,Alex Mooney,Gary Palmer,0.389034305,Undirected
82380,R,R,Alex Mooney,Glenn Thompson,0.121396252,Undirected
82398,R,R,Alex Mooney,Greg Walden,0.176306226,Undirected
82309,R,R,Alex Mooney,Harold Rogers,0.158090871,Undirected
82311,R,R,Alex Mooney,Ileana Ros-Lehtinen,0.060467369,Undirected
82411,R,R,Alex Mooney,Jackie Walorski,0.313156332,Undirected
82324,R,R,Alex Mooney,James Renacci,0.209887855,Undirected
82372,R,R,Alex Mooney,Jason Smith,0.300594891,Undirected
82399,R,R,Alex Mooney,Joe Wilson,0.271615135,Undirected
82334,R,R,Alex Mooney,John Ratcliffe,0.303070265,Undirected
82346,R,R,Alex Mooney,John Shimkus,0.173706297,Undirected
82288,R,R,Alex Mooney,Joseph Pitts,0.24237002,Undirected
82332,R,R,Alex Mooney,Keith Rothfus,0.353787117,Undirected
82421,R,R,Alex Mooney,Kevin Yoder,0.225617446,Undirected
82277,R,R,Alex Mooney,Kristi Noem,0.21243483,Undirected
82350,R,R,Alex Mooney,Lamar Smith,0.316308226,Undirected
82425,R,R,Alex Mooney,Lee Zeldin,0.151020347,Undirected
82400,R,R,Alex Mooney,Lynn Westmoreland,0.237282927,Undirected
82375,R,R,Alex Mooney,Mac Thornberry,0.217494436,Undirected
82415,R,R,Alex Mooney,Mark Walker,0.325036236,Undirected
82367,R,R,Alex Mooney,Marlin Stutzman,0.390508316,Undirected
82340,R,R,Alex Mooney,Marshall Sanford,0.072580364,Undirected
82270,R,R,Alex Mooney,Martha McSally,0.101627004,Undirected
82328,R,R,Alex Mooney,Martha Roby,0.247101549,Undirected
82338,R,R,Alex Mooney,Matt Salmon,0.361584963,Undirected
82352,R,R,Alex Mooney,Michael Simpson,0.146612354,Undirected
82378,R,R,Alex Mooney,Michael Turner,0.088229975,Undirected
82299,R,R,Alex Mooney,Mike Pompeo,0.290382005,Undirected
82316,R,R,Alex Mooney,Mike Rogers,0.209541108,Undirected
82416,R,R,Alex Mooney,Mimi Walters,0.213978374,Undirected
82377,R,R,Alex Mooney,Patrick Tiberi,0.14923013,Undirected
82315,R,R,Alex Mooney,Paul Ryan,0.242949347,Undirected
82282,R,R,Alex Mooney,Pete Olson,0.370565256,Undirected
82344,R,R,Alex Mooney,Pete Sessions,0.362361639,Undirected
82320,R,R,Alex Mooney,Peter Roskam,0.141122902,Undirected
82276,R,R,Alex Mooney,Randy Neugebauer,0.323008819,Undirected
82412,R,R,Alex Mooney,Randy Weber,0.292332222,Undirected
82325,R,R,Alex Mooney,Reid Ribble,0.133971702,Undirected
82278,R,R,Alex Mooney,Richard Nugent,0.183034535,Undirected
82409,R,R,Alex Mooney,Rob Woodall,0.20885229,Undirected
82302,R,R,Alex Mooney,Robert Pittenger,0.252311027,Undirected
82405,R,R,Alex Mooney,Robert Wittman,0.264542195,Undirected
82414,R,R,Alex Mooney,Roger Williams,0.324633119,Undirected
82426,R,R,Alex Mooney,Ryan Zinke,0.317247093,Undirected
82301,R,R,Alex Mooney,Scott Perry,0.282364277,Undirected
82383,R,R,Alex Mooney,Scott Tipton,0.282197776,Undirected
82290,R,R,Alex Mooney,Stevan Pearce,0.325627589,Undirected
82337,R,R,Alex Mooney,Steve Russell,0.397686247,Undirected
82361,R,R,Alex Mooney,Steve Scalise,0.217491263,Undirected
82366,R,R,Alex Mooney,Steve Stivers,0.106367853,Undirected
82408,R,R,Alex Mooney,Steve Womack,0.234017081,Undirected
82298,R,R,Alex Mooney,Steven Palazzo,0.200155705,Undirected
82292,R,R,Alex Mooney,Ted Poe,0.322420502,Undirected
82423,R,R,Alex Mooney,Ted Yoho,0.185052542,Undirected
82322,R,R,Alex Mooney,Thomas Rooney,0.221188989,Undirected
82402,R,R,Alex Mooney,Tim Walberg,0.259290588,Undirected
82329,R,R,Alex Mooney,Todd Rokita,0.279733753,Undirected
82422,R,R,Alex Mooney,Todd Young,0.202918338,Undirected
82291,R,R,Alex Mooney,Tom Price,0.352669235,Undirected
82323,R,R,Alex Mooney,Tom Reed,0.130077807,Undirected
82331,R,R,Alex Mooney,Tom Rice,0.31414534,Undirected
22755,R,R,Ander Crenshaw,Aaron Schock,0.007431733,Undirected
22593,R,R,Ander Crenshaw,Adam Kinzinger,0.413690493,Undirected
22752,R,R,Ander Crenshaw,Adrian Smith,0.410456685,Undirected
22661,R,R,Ander Crenshaw,Alex Mooney,0.181070641,Undirected
22554,R,R,Ander Crenshaw,Andy Harris,0.165371993,Undirected
22803,R,R,Ander Crenshaw,Ann Wagner,0.439859875,Undirected
22761,R,R,Ander Crenshaw,Austin Scott,0.326434653,Undirected
22470,R,R,Ander Crenshaw,Barbara Comstock,0.486359201,Undirected
22628,R,R,Ander Crenshaw,Barry Loudermilk,0.149965134,Undirected
22518,R,R,Ander Crenshaw,Bill Flores,0.32847229,Undirected
22559,R,R,Ander Crenshaw,Bill Huizenga,0.295695439,Undirected
22580,R,R,Ander Crenshaw,Bill Johnson,0.406975027,Undirected
22690,R,R,Ander Crenshaw,Bill Posey,0.161162427,Undirected
22747,R,R,Ander Crenshaw,Bill Shuster,0.485738615,Undirected
22622,R,R,Ander Crenshaw,Billy Long,0.284014933,Undirected
22618,R,R,Ander Crenshaw,Blaine Luetkemeyer,0.463969663,Undirected
22517,R,R,Ander Crenshaw,Blake Farenthold,0.251400873,Undirected
22485,R,R,Ander Crenshaw,Bob Dold,0.060113633,Undirected
22533,R,R,Ander Crenshaw,Bob Gibbs,0.440706517,Undirected
22520,R,R,Ander Crenshaw,Bob Goodlatte,0.368625123,Undirected
22806,R,R,Ander Crenshaw,Brad Wenstrup,0.328792018,Undirected
22530,R,R,Ander Crenshaw,Brett Guthrie,0.473749211,Undirected
22699,R,R,Ander Crenshaw,Bruce Poliquin,0.316500302,Undirected
22810,R,R,Ander Crenshaw,Bruce Westerman,0.42289054,Undirected
22469,R,R,Ander Crenshaw,Buddy Carter,0.283735154,Undirected
22637,R,R,Ander Crenshaw,Candice Miller,0.450299873,Undirected
22472,R,R,Ander Crenshaw,Carlos Curbelo,0.197238672,Undirected
22642,R,R,Ander Crenshaw,Cathy McMorris Rodgers,0.470642678,Undirected
22482,R,R,Ander Crenshaw,Charles Dent,0.39576966,Undirected
22516,R,R,Ander Crenshaw,Charles Fleischmann,0.43773845,Undirected
