,0,1,2
154,Chuka Umunna,Labour National Executive Committee,127
155,Barry Sheerman,Parliamentary Labour Party,126
156,Commons Marina Prentoulis,People Assembly,126
157,Jon Cruddas,Labour Party,126
158,Commons Marina Prentoulis,War Coalition,126
159,Commons Marina Prentoulis,Singer Charlotte Church,126
160,Commons Marina Prentoulis,Labour Party,126
161,Harriet Harman,Labour National Executive Committee,125
162,John Cryer,Parliamentary Labour Party,125
163,Ed Miliband,Shadow Health,125
164,John Cryer,Labour Party,124
165,Boris Johnson,European Union,124
166,George Howarth,Parliamentary Labour Party,124
167,Jim Fitzpatrick,Parliamentary Labour Party,124
168,George Howarth,Labour Party,124
169,Jim Fitzpatrick,Labour Party,124
170,Dan Jarvis,Labour National Executive Committee,121
171,Gordon Brown,Labour National Executive Committee,120
172,Ed Miliband,Labour National Executive Committee,118
173,Ed Miliband,Reuters,118
174,Andy Burnham,Royal College Of Nursing,117
175,Ed Miliband,Facebook,117
176,David Cameron,Labour National Executive Committee,116
177,Ben Bradshaw,Supreme Court,116
178,Peter Carter,Royal College Of Nursing,116
179,David Cameron,Parliament Square,116
180,Andy Burnham,Green Party,115
181,Harriet Harman,Parliamentary Labour Party,114
182,Mark Porter,Royal College Of Nursing,113
183,Jeremy Corbyn,Queen Mary University Of London,112
184,David Cameron,Office For Budget Responsibility,112
185,Harriet Harman,Opening Of Parliament,111
186,Ed Miliband,Institute For Fiscal Studies,111
187,Liz Kendall,Opening Of Parliament,111
188,Hilary Benn,Royal Commission,109
189,Pete Wishart,Royal Commission,109
190,Harriet Harman,Royal Commission,109
191,Hilary Benn,Opening Of Parliament,109
192,Liz Kendall,Royal Commission,109
193,Andy Burnham,Associated Press,109
194,Queen Elizabeth,Royal Commission,109
195,Alex Salmond,Opening Of Parliament,106
196,Alan Johnson,Labour National Executive Committee,105
197,Chris Leslie,Parliamentary Labour Party,104
198,Chuka Umunna,Scottish National Party,104
199,David Cameron,Opening Of Parliament,103
200,Mary Creagh,Office For Budget Responsibility,102
201,Andy Burnham,Britain Labour Party,102
202,John Bercow,Opening Of Parliament,101
203,John Hutton,Labour National Executive Committee,101
204,Neil Kinnock,Parliamentary Labour Party,101
205,Andy Burnham,United States,100
