,0,1,2
158,Andy Burnham,Sadiq Khan,290
159,David Miliband,Stella Creasy,289
160,Diane Abbott,Harriet Harman,289
161,Alastair Campbell,Chuka Umunna,286
162,Nigel Farage,Yvette Cooper,284
163,Liz Kendall,Sadiq Khan,284
164,John Smith,Yvette Cooper,283
165,Boris Johnson,Yvette Cooper,280
166,Harriet Harman,Hilary Benn,278
167,Alan Johnson,Yvette Cooper,273
168,Ed Miliband,Sadiq Khan,273
169,Douglas Alexander,Ed Miliband,273
170,Andy Burnham,John Smith,272
171,Philip Hammond,Yvette Cooper,272
172,Jim Murphy,Len Mccluskey,271
173,Alastair Campbell,Liz Kendall,270
174,John Smith,Liz Kendall,269
175,Andy Burnham,Caroline Flint,268
176,John Prescott,Yvette Cooper,268
177,Helen Goodman,Yvette Cooper,263
178,David Cameron,Sadiq Khan,263
179,Alastair Campbell,David Miliband,261
180,Andy Burnham,John Prescott,259
181,Jeremy Corbyn,Sadiq Khan,259
182,Jim Murphy,Tony Blair,259
183,Chris Leslie,David Miliband,258
184,John Prescott,Liz Kendall,258
185,Ed Miliband,Nigel Farage,257
186,Chris Leslie,Stella Creasy,257
187,Diane Abbott,George Osborne,257
188,Caroline Flint,Liz Kendall,253
189,Andy Burnham,Julie Bailey,252
190,Julie Bailey,Yvette Cooper,252
191,Andy Burnham,Philip Hammond,251
192,Julie Bailey,Liz Kendall,251
193,Harriet Harman,John Smith,250
194,Julie Bailey,Mary Creagh,250
195,John Smith,Mary Creagh,250
196,Mary Creagh,Sadiq Khan,248
197,Caroline Flint,Tom Watson,248
198,Alastair Campbell,Tom Watson,247
199,John Prescott,Tony Blair,247
